emoji,subcat
🇲🇸,country-flag
🇬🇶,country-flag
🇵🇫,country-flag
🇷🇪,country-flag
🇲🇵,country-flag
🇲🇶,country-flag
🇳🇷,country-flag
🇳🇨,country-flag
🇬🇵,country-flag
🇵🇲,country-flag
🇸🇧,country-flag
🇵🇼,country-flag
💲,currency
💱,currency
🔪,dishware
🍴,dishware
🍽️,dishware
🥄,dishware
🥢,dishware
🏺,dishware
🍻,drink
☕,drink
🥂,drink
🍷,drink
🍺,drink
🍾,drink
🍼,drink
🥃,drink
🍹,drink
🍸,drink
🍵,drink
🥛,drink
🥤,drink
🍶,drink
🧃,drink
🧊,drink
🧉,drink
❤️,emotion
💕,emotion
💜,emotion
💖,emotion
💗,emotion
💞,emotion
💯,emotion
💙,emotion
❣️,emotion
💋,emotion
💔,emotion
💓,emotion
💚,emotion
🖤,emotion
💥,emotion
💛,emotion
💦,emotion
💝,emotion
💤,emotion
💘,emotion
🧡,emotion
🤍,emotion
💢,emotion
💨,emotion
💫,emotion
💣,emotion
💌,emotion
💟,emotion
💭,emotion
🤎,emotion
🕳️,emotion
💬,emotion
🗯️,emotion
🗨️,emotion
👁️‍🗨️,emotion
🎉,event
✨,event
🎈,event
🎊,event
🎁,event
🎀,event
🎆,event
🎇,event
🎃,event
🎄,event
🎋,event
🎗️,event
🎟️,event
🎫,event
🧨,event
🎐,event
🎏,event
🎍,event
🎎,event
🧧,event
🎑,event
😘,face-affection
🥰,face-affection
😍,face-affection
☺️,face-affection
🤩,face-affection
😚,face-affection
😙,face-affection
😗,face-affection
😭,face-concerned
🥺,face-concerned
😳,face-concerned
😢,face-concerned
😩,face-concerned
😱,face-concerned
☹️,face-concerned
😞,face-concerned
😥,face-concerned
😫,face-concerned
😲,face-concerned
😕,face-concerned
😓,face-concerned
😟,face-concerned
😣,face-concerned
😖,face-concerned
😮,face-concerned
🥱,face-concerned
🙁,face-concerned
😰,face-concerned
😯,face-concerned
😨,face-concerned
😧,face-concerned
😦,face-concerned
💩,face-costume
🤡,face-costume
👹,face-costume
👻,face-costume
👽,face-costume
👺,face-costume
🤖,face-costume
👾,face-costume
😎,face-glasses
🤓,face-glasses
🧐,face-glasses
🤗,face-hand
🤔,face-hand
🤭,face-hand
🤫,face-hand
🥳,face-hat
🤠,face-hat
😡,face-negative
💀,face-negative
😈,face-negative
😤,face-negative
🤬,face-negative
😠,face-negative
☠️,face-negative
👿,face-negative
🙄,face-neutral-skeptical
😏,face-neutral-skeptical
😬,face-neutral-skeptical
😐,face-neutral-skeptical
